geo_point_2d;geo_shape;schulstand;schultyp;name;vorname_k;nachname_k;funktion;strasse;hausnummer;plz;ortschaft;telefon;fax;link;email;pdf_report;geometrie
47.56755239486053, 7.5959482161353895;"{""coordinates"": [7.59594821613539, 47.56755239486053], ""type"": ""Point""}";Bläsi;Kindergarten;Efringerstrasse 7;;;Kindergarten;Efringerstrasse;7;4057;Basel;+41 61 692 00 18;;;;;2611839.121000/1268550.140000
47.532816842528575, 7.588122405069855;"{""coordinates"": [7.588122405069855, 47.532816842528575], ""type"": ""Point""}";Bruderholz;Kindergarten;Oberer Batterieweg 11;;;Kindergarten;Oberer Batterieweg;11;4059;Basel;+41 61 361 75 10;;;;;2611257.533000/1264686.809000
47.529700066917215, 7.601294336664504;"{""coordinates"": [7.601294336664504, 47.529700066917215], ""type"": ""Point""}";Bruderholz;Kindergarten;Zur Gempenfluh 52;;;Kindergarten;Zur Gempenfluh;52;4059;Basel;+41 61 331 44 67;;;;;2612250.106000/1264342.225000
47.54014071004588, 7.5949201508831825;"{""coordinates"": [7.594920150883183, 47.54014071004588], ""type"": ""Point""}";Brunnmatt;Kindergarten;J.J Balmer Strasse 9;;;Kindergarten;J.J Balmer Strasse;9;4053;Basel;+41 61 331 19 00;;;;;2611767.796000/1265502.125000
47.53515820894281, 7.595876442012227;"{""coordinates"": [7.595876442012227, 47.53515820894281], ""type"": ""Point""}";Brunnmatt;Kindergarten;Schönenbergstrasse 24;;;Kindergarten;Schönenbergstrasse;24;4053;Basel;+41 61 331 75 50;;;;;2611840.900000/1264948.275000
47.57088123641933, 7.597482740051673;"{""coordinates"": [7.597482740051673, 47.57088123641933], ""type"": ""Point""}";Dreirosen;Kindergarten;Riehenring 199;;;Kindergarten;Riehenring;199;4057;Basel;+41 61 692 68 84;;;;;2611953.851000/1268920.502000
47.55003188885224, 7.614945613785164;"{""coordinates"": [7.614945613785164, 47.55003188885224], ""type"": ""Point""}";Gellert;Kindergarten;Gellertstrasse 110;;;Kindergarten;Gellertstrasse;110;4052;Basel;+41 61 312 87 78;;;;;2613273.063000/1266605.085000
47.550492120823144, 7.620071438506711;"{""coordinates"": [7.620071438506711, 47.550492120823144], ""type"": ""Point""}";Gellert;Kindergarten;Kastanienweg 7;;;Kindergarten;Kastanienweg;7;4052;Basel;+41 61 312 89 10;;;;;2613658.799000/1266657.133000
47.55373656699854, 7.614274923242674;"{""coordinates"": [7.614274923242674, 47.55373656699854], ""type"": ""Point""}";Gellert;Kindergarten;Lehenmattstrasse 54;;;Kindergarten;Lehenmattstrasse;54;4052;Basel;+41 61 311 94 20;;;;;2613221.658000/1267016.889000
47.55275792840632, 7.617934324667344;"{""coordinates"": [7.617934324667344, 47.55275792840632], ""type"": ""Point""}";Gellert;Kindergarten;Nasenweg 13;;;Kindergarten;Nasenweg;13;4052;Basel;+41 61 312 27 28;;;;;2613497.353000/1266908.696000
47.5559681070753, 7.614159706273568;"{""coordinates"": [7.614159706273568, 47.5559681070753], ""type"": ""Point""}";Gellert;Kindergarten;Zürcherstrasse 149;;;Kindergarten;Zürcherstrasse;149;4052;Basel;+41 61 312 80 88;;;;;2613212.433000/1267264.991000
47.5503388555909, 7.567911109455701;"{""coordinates"": [7.567911109455701, 47.5503388555909], ""type"": ""Point""}";Neubad;Kindergarten;Bristenweg 4;;;Kindergarten;Bristenweg;4;4054;Basel;+41 61 302 11 49;;;;;2609732.415000/1266632.359000
47.558376816068936, 7.5688281371465465;"{""coordinates"": [7.568828137146546, 47.558376816068936], ""type"": ""Point""}";Gotthelf;Kindergarten;Bündnerstrasse 29;;;Kindergarten;Bündnerstrasse;29;4054;Basel;+41 61 301 24 54;;;;;2609799.972000/1267526.201000
47.56756275252493, 7.625450110622286;"{""coordinates"": [7.625450110622286, 47.56756275252493], ""type"": ""Point""}";Hirzbrunnen;Kindergarten;Zu den Drei Linden 70;;;Kindergarten;Zu den Drei Linden;70;4058;Basel;+41 61 606 33 83;;;;;2614059.183000/1268556.137000
47.578310693717185, 7.588435675805378;"{""coordinates"": [7.588435675805378, 47.578310693717185], ""type"": ""Point""}";Insel;Kindergarten;Ackerstrasse 18;;;Kindergarten;Ackerstrasse;18;4057;Basel;+41 61 631 48 30;;;;;2611271.519000/1269745.246000
47.58060651380917, 7.590494112696829;"{""coordinates"": [7.590494112696829, 47.58060651380917], ""type"": ""Point""}";Insel;Kindergarten;Giessliweg 63;;;Kindergarten;Giessliweg;63;4057;Basel;+41 61 631 20 75;;;;;2611425.897000/1270000.813000
47.564002262399136, 7.571118379168576;"{""coordinates"": [7.571118379168576, 47.564002262399136], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Burgfelderstrasse 48;;;Kindergarten;Burgfelderstrasse;48;4055;Basel;+41 61 381 46 11;;;;;2609971.297000/1268151.974000
47.56368360233363, 7.568003998605389;"{""coordinates"": [7.568003998605389, 47.56368360233363], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Lützelstrasse 11;;;Kindergarten;Lützelstrasse;11;4055;Basel;+41 61 321 94 90;;;;;2609736.977000/1268116.154000
47.568678368925134, 7.568442345587222;"{""coordinates"": [7.568442345587222, 47.568678368925134], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Luzernerring 83;;;Kindergarten;Luzernerring;83;4055;Basel;+41 61 322 41 24;;;;;2609769.053000/1268671.571000
47.55803982334458, 7.576535437918548;"{""coordinates"": [7.576535437918548, 47.55803982334458], ""type"": ""Point""}";Isaak Iselin;Kindergarten;Nonnenweg 32;;;Kindergarten;Nonnenweg;32;4055;Basel;+41 61 272 68 33;;;;;2610380.125000/1267489.716000
47.581291366451744, 7.594807794713667;"{""coordinates"": [7.594807794713667, 47.581291366451744], ""type"": ""Point""}";Kleinhüningen;Kindergarten;Hochbergerstrasse 104;;;Kindergarten;Hochbergerstrasse;104;4057;Basel;+41 61 631 20 25;;;;;2611750.278000/1270077.595000
47.58302660017134, 7.591476609635107;"{""coordinates"": [7.591476609635107, 47.58302660017134], ""type"": ""Point""}";Kleinhüningen;Kindergarten;Pfarrgasse 11;;;Kindergarten;Pfarrgasse;11;4057;Basel;+41 61 631 06 95;;;;;2611499.292000/1270270.044000
47.547498165829175, 7.571901911383409;"{""coordinates"": [7.571901911383409, 47.547498165829175], ""type"": ""Point""}";Neubad;Kindergarten;Bernerring 49;;;Kindergarten;Bernerring;49;4054;Basel;+41 61 281 27 43;;;;;2610033.360000/1266317.007000
47.54677529015578, 7.569216090680525;"{""coordinates"": [7.569216090680525, 47.54677529015578], ""type"": ""Point""}";Neubad;Kindergarten;Marschalkenstrasse 120;;;Kindergarten;Marschalkenstrasse;120;4054;Basel;+41 61 208 51 24;;;;;2609831.304000/1266236.294000
47.5540173507527, 7.584544418015112;"{""coordinates"": [7.584544418015112, 47.5540173507527], ""type"": ""Point""}";Rittergasse;Kindergarten;Leonhardsstrasse 26;;;Kindergarten;Leonhardsstrasse;26;4051;Basel;+41 61 271 33 54;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2610983.749000/1267043.547000
47.55753967803001, 7.579741644002899;"{""coordinates"": [7.579741644002899, 47.55753967803001], ""type"": ""Point""}";Peter;Kindergarten;Socinstrasse 13;;;Kindergarten;Socinstrasse;13;4051;Basel;+41 61 261 69 83;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2610621.540000/1267434.532000
47.547324054852865, 7.6032984030171935;"{""coordinates"": [7.603298403017194, 47.547324054852865], ""type"": ""Point""}";Sevogel;Kindergarten;Andreas Heusler-Strasse 41;;;Kindergarten;Andreas Heusler-Strasse;41;4052;Basel;+41 61 311 39 93;;;;;2612396.931000/1266302.110000
47.54538772435547, 7.601416431399479;"{""coordinates"": [7.601416431399479, 47.54538772435547], ""type"": ""Point""}";Sevogel;Kindergarten;Grosspeterstrasse 25;;;Kindergarten;Grosspeterstrasse;25;4052;Basel;+41 61 311 08 22;;;;;2612255.700000/1266086.519000
47.54999601407142, 7.601724304647444;"{""coordinates"": [7.601724304647444, 47.54999601407142], ""type"": ""Point""}";Sevogel;Kindergarten;Kapellenstrasse 14;;;Kindergarten;Kapellenstrasse;14;4052;Basel;+41 61 312 60 25;;;;;2612277.818000/1266598.954000
47.567986158649774, 7.577987175447345;"{""coordinates"": [7.577987175447345, 47.567986158649774], ""type"": ""Point""}";Volta;Kindergarten;Ryffstrasse 31;;;Kindergarten;Ryffstrasse;31;4056;Basel;+41 61 321 39 60;;;;;2610487.438000/1268595.829000
47.565744601045004, 7.579167415252443;"{""coordinates"": [7.579167415252443, 47.565744601045004], ""type"": ""Point""}";St. Johann;Kindergarten;St. Johannsring 22;;;Kindergarten;St. Johannsring;22;4056;Basel;+41 61 321 16 14;;;;;2610576.696000/1268346.750000
47.563255214348345, 7.593392679080997;"{""coordinates"": [7.593392679080997, 47.563255214348345], ""type"": ""Point""}";Theodor;Kindergarten;Claragraben 105;;;Kindergarten;Claragraben;105;4058;Basel;+41 61 681 17 19;;;;;2611647.750000/1268071.961000
47.56385595173451, 7.592922835465381;"{""coordinates"": [7.592922835465381, 47.56385595173451], ""type"": ""Point""}";Theodor;Kindergarten;Claragraben 117;;;Kindergarten;Claragraben;117;4058;Basel;+41 61 691 08 07;;;;;2611612.260000/1268138.687000
47.5597990011473, 7.595203021221085;"{""coordinates"": [7.595203021221085, 47.5597990011473], ""type"": ""Point""}";Theodor;Kindergarten;Rebgasse 38;;;Kindergarten;Rebgasse;38;4058;Basel;+41 61 692 21 40;;;;;2611784.755000/1267687.938000
47.57111276997612, 7.576480857637983;"{""coordinates"": [7.576480857637983, 47.57111276997612], ""type"": ""Point""}";Lysbüchel;Kindergarten;Voltastrasse 80;;;Kindergarten;Voltastrasse;80;4056;Basel;+41 61 321 17 69;;;;;2610373.479000/1268943.275000
47.539594373124245, 7.5984269799855415;"{""coordinates"": [7.598426979985542, 47.539594373124245], ""type"": ""Point""}";Brunnmatt;Kindergarten;Delsbergerallee 74;;;Kindergarten;Delsbergerallee;74;4053;Basel;+41 61 331 09 49;;;;;2612031.950000/1265441.908000
47.568639685568186, 7.600669660930413;"{""coordinates"": [7.600669660930413, 47.568639685568186], ""type"": ""Point""}";Erlenmatt;Kindergarten;Erlenstrasse 45;;;Kindergarten;Erlenstrasse;45;4058;Basel;+41 61 681 01 88;;;;;2612194.169000/1268671.754000
47.56981295843733, 7.589506822955818;"{""coordinates"": [7.589506822955818, 47.56981295843733], ""type"": ""Point""}";Dreirosen;Tagesstruktur;TS Dreirosen;;;Leitung Tagesstruktur;Breisacherstrasse;134;4057;Basel;+41 61 208 50 84;;;niko.grubesa@dreirosen.ch;;2611353.915000/1268800.543000
47.56281801378094, 7.570810919675472;"{""coordinates"": [7.570810919675472, 47.56281801378094], ""type"": ""Point""}";Isaak Iselin;Tagesstruktur;TS Isaak Iselin;;;Leitung Tagesstruktur;Strassburgerallee;65;4055;Basel;+41 79 964 84 19;;;j.staempfli@robi-spiel-aktionen.ch;;2609948.379000/1268020.260000
47.563916505551774, 7.570913919361181;"{""coordinates"": [7.570913919361181, 47.563916505551774], ""type"": ""Point""}";Isaak Iselin;Tagesstruktur;TS Isaak Iselin;;;Leitung Tagesstruktur;Burgfelderstrasse;48b;4055;Basel;+41 79 964 84 19;;;j.staempfli@robi-spiel-aktionen.ch;;2609955.926000/1268142.413000
47.565683094781186, 7.58151240823731;"{""coordinates"": [7.58151240823731, 47.565683094781186], ""type"": ""Point""}";St. Johann;Tagesstruktur;TS St. Johann;;;Leitung Tagesstruktur;St.Johanns-Ring;17;4056;Basel;+41 79 401 42 58;;;ts_stjohann_vogesen@robi-spiel-aktionen.ch;;2610753.179000/1268340.228000
47.56233325378307, 7.57069881075029;"{""coordinates"": [7.57069881075029, 47.56233325378307], ""type"": ""Point""}";Isaak Iselin;Tagesstruktur;TS Isaak Iselin;;;Leitung Tagesstruktur;Hagentalerstrasse;46;4055;Basel;+41 79 964 84 19;;;j.staempfli@robi-spiel-aktionen.ch;;2609940.032000/1267966.346000
47.554540005768665, 7.58673247728915;"{""coordinates"": [7.58673247728915, 47.554540005768665], ""type"": ""Point""}";Leonhard;Tagesstruktur;TS Leonhard;;;Sekretariat;Leonhardsstrasse;15;4051;Basel;+41 78 758 24 21;;;christina.renz@bs.ch;;2611148.337000/1267101.967000
47.55362998070481, 7.58725715333529;"{""coordinates"": [7.58725715333529, 47.55362998070481], ""type"": ""Point""}";Holbein;Tagesstruktur;TS Holbein;;;Sekretariat;Kanonengasse;9;4051;Basel;+41 61 267 55 35;;;gioia.macoa@e-9.ch;;2611188.020000/1267000.857000
47.54977194060077, 7.591478185417914;"{""coordinates"": [7.591478185417914, 47.54977194060077], ""type"": ""Point""}";De Wette;Tagesstruktur;TS DeWette;;;Leitung Tagesstruktur;De Wette-Strasse;7;4051;Basel;+41 79 274 34 74;;;martin.pedersen@bs.ch;;2611506.574000/1266572.495000
47.55004727053665, 7.601170184242468;"{""coordinates"": [7.601170184242468, 47.55004727053665], ""type"": ""Point""}";Sevogel;Tagesstruktur;TS Sevogel;;;;Kapellenstrasse;5;4052;Basel;;;;;;2612236.094000/1266604.567000
47.54914673438786, 7.613350810299836;"{""coordinates"": [7.613350810299836, 47.54914673438786], ""type"": ""Point""}";Gellert;Tagesstruktur;TS Christoph Merian;;;Leitung Tagesstruktur;Emanuel-Büchel-Strasse;45;4052;Basel;+41 61 317 95 73;+41 61 317 95 75;;rita.wettstein@bs.ch;;2613153.230000/1266506.399000
47.56417116025339, 7.608352876153639;"{""coordinates"": [7.608352876153639, 47.56417116025339], ""type"": ""Point""}";Sandgruben;Tagesstruktur;TS Sandgruben;;;Leitung Tagesstruktur;Schwarzwaldallee;161;4058;Basel;+41 61 208 56 07;;;birgit.sutter@bs.ch;;2612773.401000/1268176.120000
47.56321452102811, 7.607650902454409;"{""coordinates"": [7.607650902454409, 47.56321452102811], ""type"": ""Point""}";Vogelsang;Tagesstruktur;TS Vogelsang;;;Leitung Tagesstruktur;Schwarzwaldallee;107;4058;Basel;+41 79 461 04 94;;;monika.burger@bs.ch;;2612720.801000/1268069.639000
47.56269687316258, 7.570727387059693;"{""coordinates"": [7.570727387059693, 47.56269687316258], ""type"": ""Point""}";Isaak Iselin;Primarschule;Isaak Iselin;;;Sekretariat;Strassburgerallee;65;4055;Basel;+14 61 385 94 60;+14 61 385 94 65;http://schulen.edubs.ch/ps/isaakiselin;ps.isaakiselin@bs.ch;Bauprojekt_Schulraum_613.pdf;2609942.115000/1268006.780000
47.565930325176105, 7.580951371446544;"{""coordinates"": [7.580951371446544, 47.565930325176105], ""type"": ""Point""}";Vogesen;Sekundarschule;Sek Vogesen;;;Sekretariat;St. Johanns-Ring;17;4056;Basel;+41 61 385 95 50;+41 61 385 95 55;http://www.sek-vogesen.ch;sek.vogesen@bs.ch;Bauprojekt_Schulraum_643.pdf;2610710.909000/1268367.641000
47.56989306260534, 7.581776020377755;"{""coordinates"": [7.581776020377755, 47.56989306260534], ""type"": ""Point""}";Volta;Primarschule;Volta;;;Sekretariat;Wasserstrasse;40;4056;Basel;+41 61 386 89 00;+41 61 386 89 05;http://schulen.edubs.ch/ps/volta;ps.volta@bs.ch;Bauprojekt_Schulraum_644.pdf;2610772.168000/1268808.366000
47.56372173028146, 7.605492551476027;"{""coordinates"": [7.605492551476027, 47.56372173028146], ""type"": ""Point""}";Sandgruben;Allgemeine Gewerbeschule;Allgemeine Gewerbeschule;;;Sekretariat;Vogelsangstrasse;15;4058;Basel;+41 61 695 61 11;;;;;2612558.249000/1268125.689000
47.562506662210176, 7.609125352505251;"{""coordinates"": [7.609125352505251, 47.562506662210176], ""type"": ""Point""}";Vogelsang;Allgemeine Gewerbeschule;AGS Lehrwerkstatt;;;Sekretariat;Wettsteinallee;175;4058;Basel;+41 61 695 64 00;;;;;2612831.935000/1267991.172000
47.54653429298075, 7.6049007590197855;"{""coordinates"": [7.604900759019785, 47.54653429298075], ""type"": ""Point""}";Luftmatt;Fachmaturitätsschule;Fachmaturitätsschule Basel;;;Sekretariat;Engelgasse;120;4052;Basel;+41 61 317 37 57;;;fms@bs.ch;Bauprojekt_Schulraum_622.pdf;2612517.742000/1266214.551000
47.54982883024361, 7.591564151570947;"{""coordinates"": [7.591564151570947, 47.54982883024361], ""type"": ""Point""}";De Wette;Sekundarschule;Sekundarschule De Wette;;;Sekretariat;De Wette-Strasse;7;4051;Basel;+41 61 208 55 00;;http://www.sek-dewette.ch;sek.dewette@bs.ch;Bauprojekt_Schulraum_626.pdf;2611513.033000/1266578.833000
47.55365023226028, 7.587322466903052;"{""coordinates"": [7.587322466903052, 47.55365023226028], ""type"": ""Point""}";Holbein;Sekundarschule;Holbein;;;Sekretariat;Kanonengasse;9;4051;Basel;+41 61 267 55 35;+41 61 267 55 34;http://www.sek-holbein.ch;sek.holbein@bs.ch;Bauprojekt_Schulraum_629.pdf;2611192.932000/1267003.118000
47.5560722880147, 7.591208205357334;"{""coordinates"": [7.591208205357334, 47.5560722880147], ""type"": ""Point""}";Münsterplatz;Gymnasium;Gymnasium Münsterplatz;;;Sekretariat;Münsterplatz;15;4051;Basel;+41 61 267 88 70;;;gymnasium.muensterplatz@bs.ch;Bauprojekt_Schulraum_634.pdf;2611484.896000/1267272.981000
47.54727529863986, 7.5692559538969375;"{""coordinates"": [7.569255953896938, 47.54727529863986], ""type"": ""Point""}";Neubad;Primarschule;Neubad & Kaltbrunnen;;;Sekretariat;Marschalkenstrasse;120;4054;Basel;+41 61 208 51 50;;http://schulen.edubs.ch/ps/neubad;ps.neubad@bs.ch;Bauprojekt_Schulraum_618.pdf;2609834.213000/1266291.894000
47.555089726955536, 7.568066319991726;"{""coordinates"": [7.568066319991726, 47.555089726955536], ""type"": ""Point""}";Gotthelf;Primarschule;Gottfried Keller & Gotthelf;;;Sekretariat;Gotthelfplatz;1;4054;Basel;+41 61 208 52 00;+41 61 208 52 30;http://schulen.edubs.ch/ps/gotthelf;ps.gotthelf@bs.ch;Bauprojekt_Schulraum_615.pdf;2609743.233000/1267160.620000
47.56901622797366, 7.600473141737521;"{""coordinates"": [7.600473141737521, 47.56901622797366], ""type"": ""Point""}";Erlenmatt;Primarschule;Erlenmatt;;;Sekretariat;Erlenmattstrasse;6;4058;Basel;+41 61 208 60 30;;http://schulen.edubs.ch/ps/erlenmatt/kontakt-1;ps.erlenmatt@bs.ch;Bauprojekt_Schulraum_6624.pdf;2612179.295000/1268713.591000
47.56259943431222, 7.55656179554015;"{""coordinates"": [7.55656179554015, 47.56259943431222], ""type"": ""Point""}";Wasgenring;Spezialangebot;SPA Bachgraben;;;Sekretariat;Hegenheimermattweg;202;4123;Allschwil;+41 61 208 51 04;+41 61 381 30 48;http://schulen.edubs.ch/ps/wasgenring;spa-schulhaus-bachgraben@bs.ch;Bauprojekt_Schulraum_3968.pdf;2608876.049000/1267994.259000
47.56059376367428, 7.597201325862774;"{""coordinates"": [7.597201325862774, 47.56059376367428], ""type"": ""Point""}";Theodor;Spezialangebot;Richter Linder;;;Schulleitung;Hammerstrasse;27;4058;Basel;+41 61 208 56 30;;http://https://spa.edubs.ch/standorte/1-6-ts-ps-richter-linder;thomas.flueckiger@bs.ch;Bauprojekt_Schulraum_4083.pdf;2611934.975000/1267776.607000
47.55224267508817, 7.583855398283516;"{""coordinates"": [7.583855398283516, 47.55224267508817], ""type"": ""Point""}";Rittergasse;Kindergarten;Holbeinstrasse 54;;;Kindergarten;Holbeinstrasse;54;4051;Basel;+41 61 228 70 56;;http://schulen.edubs.ch/ps/peter/kindergarten;;;2610932.249000/1266846.128000
47.57206968802078, 7.5991901858201025;"{""coordinates"": [7.599190185820103, 47.57206968802078], ""type"": ""Point""}";Erlenmatt;Kindergarten;Tangentenweg 50;;;Kindergarten;Tangentenweg;50;4057;Basel;;;http://schulen.edubs.ch/ps/erlenmatt/kindergarten/tangentenweg;seda.kasan@edubs.ch;;2612082.062000/1269052.905000
47.5659086742598, 7.562352329615006;"{""coordinates"": [7.562352329615006, 47.5659086742598], ""type"": ""Point""}";Wasgenring;Kindergarten;Michelbacherstrasse 6;;;Kindergarten;Michelbacherstrasse;6;4055;Basel;;;;;;2609311.261000/1268362.876000
47.56897239463079, 7.592489632304954;"{""coordinates"": [7.592489632304954, 47.56897239463079], ""type"": ""Point""}";Bläsi;Kindergarten;Müllheimerstrasse 138;;;Kindergarten;Müllheimerstrasse;138;4057;Basel;;;;;;2611578.549000/1268707.515000
47.55668603392801, 7.5903367081001205;"{""coordinates"": [7.590336708100121, 47.55668603392801], ""type"": ""Point""}";Peter;Kindergarten;Schlüsselberg 14;;;Kindergarten;Schlüsselberg;14;4051;Basel;;;;;;2611419.169000/1267341.096000
47.56799352003293, 7.59257869070143;"{""coordinates"": [7.59257869070143, 47.56799352003293], ""type"": ""Point""}";Bläsi;Tagesstruktur;TS Bläsi;;;Tagesstruktur;Müllheimerstrasse;94;4057;Basel;;;;;;2611585.463000/1268598.688000
47.545087885006126, 7.586007491560694;"{""coordinates"": [7.586007491560694, 47.545087885006126], ""type"": ""Point""}";Margarethen;Tagesstruktur;TS Gundeldingen;;;Tagesstrktur;Frobenstrasse;20a;4053;Basel;;;;;;2611095.730000/1266050.900000
47.557633416577694, 7.590853431385826;"{""coordinates"": [7.590853431385826, 47.557633416577694], ""type"": ""Point""}";Peter;Tagesstruktur;TS Peters;;;Tagesstruktur;Augustinergasse;11;4051;Basel;;;;;;2611457.858000/1267446.509000
47.57084107835528, 7.609963565070332;"{""coordinates"": [7.609963565070332, 47.57084107835528], ""type"": ""Point""}";Schoren;Tagesstruktur;TS Schoren;;;Tagesstruktur;Schorenweg;23;4058;Basel;;;;;;2612893.004000/1268918.003000
47.56590600657118, 7.581297029189358;"{""coordinates"": [7.581297029189358, 47.56590600657118], ""type"": ""Point""}";St. Johann;Tagesstruktur;TS St. Johann;;;Tagesstruktur;St. Johanns-Platz;9;4056;Basel;;;;;;2610736.926000/1268364.984000
47.56985840318665, 7.581737534645667;"{""coordinates"": [7.581737534645667, 47.56985840318665], ""type"": ""Point""}";Volta;Tagesstruktur;TS Volta;;;Tagesstruktur;Wasserstrasse;40;4056;Basel;;;;;;2610769.279000/1268804.507000
